Zaman			Deger
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            33.36
5.06.2023 03:43:33 :            35.79
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            35.79
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            35.79
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:34 :            33.36
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            35.79
5.06.2023 03:43:35 :            31.04
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            31.04
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            33.36
